grid_id,avg_utilization,avg_price,avg_volume,pile_count,fast_count,slow_count,area_km2,is_CBD,has_dynamic,status
724,0.2945,1.0577,22.2014,166,4,162,3.0,0,1,Underutilized
728,0.1863,1.0,4.4052,22,12,10,2.9,0,0,Underutilized
729,0.1585,1.0368,27.7299,39,20,19,6.66,0,1,Underutilized
732,0.6146,0.8646,46.3479,43,28,15,1.77,0,1,Normal
733,0.3888,1.0167,29.2535,130,0,130,2.47,0,0,Normal
735,0.4413,0.7578,66.5261,19,19,0,3.89,0,1,Normal
737,0.1029,0.7667,2.1289,36,0,36,3.61,0,0,Underutilized
739,0.2016,1.2,0.8264,10,0,10,1.21,0,0,Underutilized
741,0.2044,0.8121,5.1441,38,16,22,1.72,0,1,Underutilized
744,0.4376,0.7158,184.9545,135,40,95,1.96,0,0,Normal
745,0.4997,0.895,6.4973,28,0,28,1.89,0,0,Normal
746,0.3825,0.7914,21.0162,115,0,115,2.19,0,0,Normal
751,0.3843,0.78,8.9227,72,0,72,3.46,0,0,Normal
771,0.3985,1.2752,4.8347,24,0,24,12.78,0,0,Normal
773,0.3243,0.8,15.0794,40,40,0,5.55,0,0,Normal
775,0.4919,0.7496,249.7048,26,26,0,6.15,0,1,Normal
781,0.3869,0.8485,25.5641,35,12,23,2.77,0,1,Normal
783,0.0869,1.2,1.2109,24,0,24,5.21,0,0,Underutilized
784,0.3537,0.717,12.5684,59,4,55,2.45,0,0,Normal
790,0.2476,1.05,3.0179,32,0,32,5.06,0,0,Underutilized
795,0.4608,0.7208,30.7305,103,8,95,4.39,0,1,Normal
799,0.3838,1.0235,61.2575,92,15,77,1.58,0,0,Normal
802,0.3334,1.2425,11.2559,58,0,58,3.84,0,0,Normal
804,0.2828,1.0078,34.5316,21,7,14,2.31,0,1,Underutilized
831,0.1361,0.98,1.4261,18,0,18,3.24,0,0,Underutilized
832,0.3901,0.7859,183.6076,76,40,36,3.0,0,1,Normal
835,0.5767,0.925,0.5356,12,0,12,2.98,0,0,Normal
842,0.4435,0.9209,103.5638,91,10,81,5.33,0,0,Normal
848,0.1606,0.8,1.1242,12,0,12,4.95,0,0,Underutilized
849,0.151,1.03,2.4772,50,0,50,3.86,0,0,Underutilized
851,0.472,0.764,29.4269,142,0,142,4.38,0,1,Normal
852,0.3117,0.72,1.4372,8,0,8,3.87,0,0,Normal
855,0.3464,0.9673,30.5095,210,0,210,5.16,0,0,Normal
858,0.4514,0.7578,102.3048,138,22,116,5.5,0,1,Normal
862,0.126,0.97,2.6277,36,0,36,7.98,0,0,Underutilized
883,0.4081,0.91,1.7378,12,0,12,3.79,0,0,Normal
887,0.2985,0.7,6.2517,36,0,36,2.57,0,0,Underutilized
888,0.3327,0.7784,25.2496,141,0,141,5.54,0,1,Normal
890,0.1634,1.1,0.2741,18,0,18,2.33,0,0,Underutilized
891,0.2149,1.1612,87.1975,54,54,0,3.27,0,0,Underutilized
893,0.1733,1.3,1.0275,18,0,18,4.85,0,0,Underutilized
895,0.2695,0.7512,156.636,45,45,0,4.4,0,1,Underutilized
897,0.1189,1.0626,6.3103,44,0,44,5.35,0,0,Underutilized
900,0.4148,0.725,2.8361,12,0,12,1.81,0,0,Normal
901,0.1196,1.175,1.095,17,0,17,6.34,0,0,Underutilized
902,0.1827,0.876,107.5961,108,38,70,4.5,0,1,Underutilized
903,0.2177,1.1,6.5597,57,0,57,4.93,0,0,Underutilized
904,0.1996,0.7833,6.2764,54,0,54,4.35,0,0,Underutilized
937,0.0882,0.86,0.5285,22,0,22,33.29,0,0,Underutilized
965,0.3841,0.9876,30.1405,129,18,111,2.31,0,0,Normal
966,0.3246,0.8601,39.206,202,12,190,1.42,0,0,Normal
967,0.2714,0.94,3.7872,24,0,24,2.11,0,0,Underutilized
969,0.2998,1.126,8.5464,50,0,50,3.17,0,0,Underutilized
972,0.3959,1.024,16.2501,75,0,75,3.72,0,0,Normal
974,0.4148,0.8136,36.9568,158,0,158,3.64,0,1,Normal
975,0.2435,0.9,2.5071,18,0,18,1.46,0,0,Underutilized
979,0.1756,1.0,1.6265,16,0,16,2.65,0,0,Underutilized
982,0.5894,0.865,5.6572,24,0,24,2.69,0,0,Normal
983,0.2099,0.81,1.6994,17,0,17,1.88,0,0,Underutilized
986,0.4317,0.9053,27.1178,88,3,85,0.77,0,1,Normal
987,0.1654,1.028,0.1981,9,0,9,1.23,0,0,Underutilized
988,0.2248,1.0244,6.4124,70,0,70,1.45,0,0,Underutilized
989,0.2021,1.0475,12.2329,124,0,124,3.96,0,0,Underutilized
991,0.5613,0.6936,4.1961,23,2,21,2.04,0,0,Normal
996,0.4386,0.9012,28.4804,119,0,119,3.33,0,0,Normal
998,0.2813,0.9388,225.5542,162,44,118,2.22,0,1,Underutilized
1000,0.2611,0.9006,20.2649,193,0,193,3.08,0,0,Underutilized
1009,0.2744,0.9559,27.4762,206,0,206,2.33,0,0,Underutilized
1011,0.2272,0.8862,37.1419,344,0,344,3.41,0,0,Underutilized
1015,0.1749,1.1,9.2523,96,0,96,3.16,1,0,Underutilized
1026,0.4471,0.9758,265.7026,89,54,35,1.98,0,1,Normal
1029,0.7603,0.7492,70.2538,36,36,0,29.67,0,1,Normal
1031,0.3287,0.8054,54.4792,172,14,158,4.91,0,1,Normal
1032,0.286,0.7698,163.5458,50,0,50,46.24,0,1,Underutilized
1037,0.2565,0.72,1.5889,12,0,12,30.26,0,0,Underutilized
1043,0.3051,0.9,6.3961,68,0,68,4.56,0,0,Normal
1049,0.4537,0.7758,55.8435,202,12,190,2.63,0,0,Normal
1060,0.0775,1.18,1.8053,40,0,40,34.94,0,0,Underutilized
1061,0.1663,0.9975,10.1295,122,0,122,2.03,1,0,Underutilized
1062,0.1487,1.1036,11.2686,143,2,141,2.07,1,0,Underutilized
1066,0.1943,1.1663,3.4921,40,0,40,1.57,1,0,Underutilized
1067,0.3812,1.0875,9.7347,49,0,49,1.52,1,0,Normal
1068,0.2129,1.0104,26.8997,309,4,305,1.41,1,0,Underutilized
1071,0.4088,1.1876,14.0798,72,0,72,1.1,1,0,Normal
1072,0.2637,0.9868,5.9027,68,0,68,1.17,1,1,Underutilized
1074,0.2659,1.1421,8.9,82,0,82,0.99,1,0,Underutilized
1075,0.3406,1.34,3.1744,16,0,16,1.01,1,0,Normal
1076,0.3626,0.9739,18.9364,123,0,123,1.33,1,1,Normal
1081,0.1947,1.03,5.2914,47,0,47,1.06,0,0,Underutilized
1082,0.4049,0.858,1.1626,21,0,21,0.59,0,0,Normal
1083,0.34,0.865,8.845,44,2,42,1.49,0,0,Normal
1085,0.3757,1.1409,7.1493,83,0,83,0.38,1,0,Normal
1086,0.3911,1.155,1.5202,12,0,12,0.66,1,0,Normal
1088,0.2524,0.9223,28.3646,220,8,212,0.76,1,1,Underutilized
1090,0.1655,1.26,2.086,34,0,34,0.54,0,0,Underutilized
1092,0.1707,0.75,1.1796,24,0,24,0.57,1,0,Underutilized
1093,0.2825,1.2,0.9872,6,0,6,0.92,0,0,Underutilized
1095,0.2882,1.205,4.1394,29,0,29,0.97,1,0,Underutilized
1096,0.1653,1.1133,5.0335,70,12,58,1.07,1,0,Underutilized
1098,0.4452,1.0754,100.9645,74,28,46,1.52,1,0,Normal
1099,0.1117,0.79,1.0564,18,0,18,0.77,1,0,Underutilized
1100,0.1862,1.0029,7.1238,69,0,69,1.05,1,0,Underutilized
1101,0.0896,0.9933,1.0406,20,0,20,0.47,1,0,Underutilized
1102,0.1397,0.9875,7.6385,108,0,108,1.19,1,0,Underutilized
1104,0.0889,0.9733,1.2898,27,0,27,0.47,1,0,Underutilized
1105,0.1069,1.0263,1.0617,28,0,28,0.85,1,0,Underutilized
1106,0.0925,1.0588,1.1079,22,0,22,1.26,1,0,Underutilized
1107,0.2029,1.2,0.494,12,0,12,0.78,1,0,Underutilized
1109,0.0908,1.06,2.4481,62,0,62,0.74,1,0,Underutilized
1110,0.1034,1.16,1.9879,33,0,33,1.18,1,0,Underutilized
1111,0.2154,0.85,6.9483,59,0,59,1.09,1,0,Underutilized
1112,0.2049,0.9,1.9956,18,0,18,1.48,1,0,Underutilized
1113,0.104,1.0478,1.6464,55,0,55,1.29,1,0,Underutilized
1114,0.1077,1.0133,4.9168,45,2,43,0.6,1,0,Underutilized
1115,0.2166,0.938,6.5139,62,0,62,2.23,1,0,Underutilized
1119,0.2022,0.9806,11.4366,113,0,113,1.05,0,0,Underutilized
1121,0.2724,0.892,5.6363,37,0,37,0.73,0,0,Underutilized
1122,0.0774,0.9838,2.4168,62,0,62,1.0,0,0,Underutilized
1124,0.3516,0.9541,127.9569,61,37,24,1.07,0,1,Normal
1126,0.2422,1.3213,3.5997,42,0,42,0.56,0,0,Underutilized
1131,0.5825,0.7045,611.3746,92,86,6,1.06,0,1,Normal
1134,0.1271,1.0375,3.1652,58,0,58,0.96,0,0,Underutilized
1137,0.4222,1.004,388.3343,216,87,129,1.66,0,1,Normal
1138,0.0881,0.88,0.8147,16,0,16,0.9,0,0,Underutilized
1143,0.0932,0.8467,1.1519,26,0,26,0.42,0,0,Underutilized
1144,0.2464,1.005,4.9115,68,0,68,1.85,0,0,Underutilized
1149,0.3404,0.9988,7.0261,48,0,48,1.31,0,0,Normal
1154,0.1255,0.9317,1.597,22,0,22,1.23,0,0,Underutilized
1156,0.1281,1.112,1.5513,30,0,30,0.57,0,0,Underutilized
1159,0.2478,0.9812,11.5378,114,0,114,1.95,0,0,Underutilized
1160,0.0835,0.69,0.4861,14,2,12,1.38,0,0,Underutilized
1162,0.2785,0.905,2.5123,22,0,22,1.4,0,0,Underutilized
1163,0.091,0.7,0.9496,18,0,18,1.07,0,0,Underutilized
1164,0.3647,0.9569,16.9003,116,0,116,1.88,0,0,Normal
1166,0.2713,1.04,10.8495,76,0,76,2.37,0,0,Underutilized
1167,0.3614,0.8176,497.2863,382,55,327,6.13,0,1,Normal
1168,0.1938,0.9067,6.1811,43,12,31,1.43,0,0,Underutilized
1170,0.0822,1.2,0.4758,10,0,10,2.16,0,0,Underutilized
1172,0.1704,1.057,2.8739,47,0,47,1.1,0,0,Underutilized
1173,0.3931,1.0425,5.1408,44,0,44,1.28,0,0,Normal
